OBJECTID,FloodPlainSource,Watershed,Shape__Area,Shape__Length
5049,Engineered,Rouge River,106929.099853516,5496.51268942804
5050,Engineered,Mimico Creek,101003.312744141,2749.05226878547
5051,Engineered,Mimico Creek,372287.861572266,9418.03549095177
5052,Engineered,Mimico Creek,507924.34765625,7871.12948775389
5053,Engineered,Mimico Creek,208072.937011719,3990.73355121787
5054,Engineered,Mimico Creek,17152.5844726562,590.564150244953
5058,Engineered,Mimico Creek,7423.62817382812,705.746924574409
5062,Engineered,Mimico Creek,153965.180664062,8760.49195593666
5065,Engineered,Mimico Creek,3941720.83398438,96313.4721131711
5066,Engineered,Mimico Creek,62080.1115722656,4694.04593532783
5067,Engineered,Mimico Creek,15588.4521484375,976.522242113969
5068,Engineered,Mimico Creek,270882.032714844,12874.763222111
5069,Engineered,Mimico Creek,4912.34521484375,796.564344416809
5070,Engineered,Mimico Creek,7856.04956054688,372.594169066798
5071,Engineered,Mimico Creek,3469.99560546875,669.946153590014
5072,Engineered,Mimico Creek,176699.068359375,10074.3541732571
5073,Engineered,Mimico Creek,7960.29223632812,1091.9392326451
5074,Engineered,Mimico Creek,6447.56640625,841.816657616694
5075,Engineered,Mimico Creek,27907.0939941406,1479.92627907331
5076,Engineered,Mimico Creek,62545.9426269531,2296.32361598377
5077,Engineered,Mimico Creek,273312.673339844,8114.3295367662
5078,Engineered,Mimico Creek,12310.8334960938,558.077158338084
5079,Engineered,Mimico Creek,258.16796875,130.443719973283
5080,Engineered,Mimico Creek,1405.40478515625,167.579906764536
5081,Engineered,Mimico Creek,948.972900390625,146.047725343715
5082,Engineered,Mimico Creek,31807.0458984375,946.529810044729
5083,Engineered,Mimico Creek,90076.876953125,2053.50394043272
5084,Engineered,Mimico Creek,22042.8940429688,855.944703815705
5085,Engineered,Mimico Creek,46808.6345214844,1248.85965412008
5087,Engineered,Mimico Creek,675.570556640625,110.477417359245
5088,Engineered,Mimico Creek,2423.32153320312,225.34352871766
5089,Engineered,Mimico Creek,184628.077148438,3878.60512023214
5090,Engineered,Mimico Creek,178005.983398438,3457.01052690804
5091,Engineered,Mimico Creek,1523.01879882812,182.862822706914
